Phase,Dataset,Accuracy,Macro_Precision,Macro_Recall,Macro_F1,Weighted_F1
Phase_1_0,Train,0.4880802308317225,0.4659024094584967,0.4880802308317225,0.4354900680291311,0.4354900680291311
Phase_1_0,Test,0.4865359477124183,0.4683479364169027,0.4865359477124182,0.4336041961948,0.4336041961948
Phase_1_1,Train,0.4893688545255903,0.4646235495043506,0.4893688545255903,0.4364375599757484,0.4364375599757485
Phase_1_1,Test,0.4909803921568627,0.4723457781290115,0.4909803921568627,0.4382029557692939,0.4382029557692939
Phase_1_2,Train,0.4900972070482113,0.4659306702467384,0.4900972070482113,0.437205718823981,0.437205718823981
Phase_1_2,Test,0.4900653594771242,0.4708682384024238,0.4900653594771242,0.4372948185353387,0.4372948185353387
Phase_1_2,Train,0.4900972070482113,0.4659306702467384,0.4900972070482113,0.437205718823981,0.437205718823981
Phase_1_2,Test,0.4900653594771242,0.4708682384024238,0.4900653594771242,0.4372948185353387,0.4372948185353387
Phase_1_3_Threshold_Tuning,Train,0.49284253578732107,0.47441347957985786,0.492842535787321,0.4478456571873007,0.44784565718730074
Phase_1_3_Threshold_Tuning,Test,0.49320261437908497,0.4794871412251956,0.4932026143790849,0.44776402198764864,0.44776402198764864
